run,piece,pieces_in_run,length_ft,cut_length_ft,start_coupler,end_coupler,num_bends,operations,instructions
22,1,11,10.0,9.63,0,1,2,90° bend; 45° bend,"feed 4 ft 3-1/2 in, bend 90 (roll 0) ; feed 1 ft 3-3/4 in, bend 45 (roll 90 CW) ; tail 2 ft 1-7/8 in"
22,2,11,10.0,9.93,1,1,2,45° bend; 45° bend,"feed 2 ft 2-1/16 in, bend 45 (roll 180) ; feed 2 ft 2-1/8 in, bend 45 (roll 0) ; tail 4 ft 4-1/16 in"
22,3,11,10.0,10.0,1,1,0,,tail 10 ft
22,4,11,10.0,10.0,1,1,0,,tail 10 ft
22,5,11,10.0,10.0,1,1,0,,tail 10 ft
22,6,11,10.0,10.0,1,1,0,,tail 10 ft
22,7,11,10.0,10.0,1,1,0,,tail 10 ft
22,8,11,10.0,10.0,1,1,0,,tail 10 ft
22,9,11,10.0,10.0,1,1,0,,tail 10 ft
22,10,11,10.0,9.75,1,1,1,82.6° bend,"feed 1 ft 9-15/16 in, bend 82.6 (roll 180) ; tail 6 ft 9-3/8 in"
22,11,11,7.06,7.06,1,0,0,,tail 7 ft 11/16 in
23,1,11,10.0,9.66,0,1,1,90° bend,"feed 3 ft 11 in, bend 90 (roll 0) ; tail 4 ft 6 in"
23,2,11,10.0,9.66,1,1,1,90° bend,"feed 2 ft 5-11/16 in, bend 90 (roll 90 CCW) ; tail 5 ft 11-5/16 in"
23,3,11,10.0,10.0,1,1,0,,tail 10 ft
23,4,11,10.0,10.0,1,1,0,,tail 10 ft
23,5,11,10.0,10.0,1,1,0,,tail 10 ft
23,6,11,10.0,10.0,1,1,0,,tail 10 ft
23,7,11,10.0,10.0,1,1,0,,tail 10 ft
23,8,11,10.0,10.0,1,1,0,,tail 10 ft
23,9,11,10.0,9.66,1,1,1,90° bend,"feed 7 ft 2-9/16 in, bend 90 (roll 180) ; tail 1 ft 2-7/16 in"
23,10,11,10.0,10.0,1,1,0,,tail 10 ft
23,11,11,4.65,4.31,1,0,1,90° bend,"feed 1 ft 1-5/8 in, bend 90 (roll 0) ; tail 1 ft 11-1/4 in"
24,1,11,10.0,9.66,0,1,1,90° bend,"feed 4 ft 7-1/2 in, bend 90 (roll 0) ; tail 3 ft 9-1/2 in"
24,2,11,10.0,9.66,1,1,1,90° bend,"feed 2 ft 1-1/2 in, bend 90 (roll 90 CW) ; tail 6 ft 3-1/2 in"
24,3,11,10.0,10.0,1,1,0,,tail 10 ft
24,4,11,10.0,10.0,1,1,0,,tail 10 ft
24,5,11,10.0,10.0,1,1,0,,tail 10 ft
24,6,11,10.0,10.0,1,1,0,,tail 10 ft
24,7,11,10.0,10.0,1,1,0,,tail 10 ft
24,8,11,10.0,10.0,1,1,0,,tail 10 ft
24,9,11,10.0,10.0,1,1,0,,tail 10 ft
24,10,11,10.0,10.0,1,1,0,,tail 10 ft
24,11,11,4.51,4.51,1,0,0,,tail 4 ft 6-3/16 in
25,1,11,10.0,10.0,0,1,0,,tail 10 ft
25,2,11,10.0,10.0,1,1,0,,tail 10 ft
25,3,11,10.0,10.0,1,1,0,,tail 10 ft
25,4,11,10.0,10.0,1,1,0,,tail 10 ft
25,5,11,10.0,10.0,1,1,0,,tail 10 ft
25,6,11,10.0,10.0,1,1,0,,tail 10 ft
25,7,11,10.0,10.0,1,1,0,,tail 10 ft
25,8,11,10.0,10.0,1,1,0,,tail 10 ft
25,9,11,10.0,10.0,1,1,0,,tail 10 ft
25,10,11,10.0,9.32,1,1,2,90° bend; 90° bend,"feed 10-9/16 in, bend 90 (roll 0) ; feed 4 ft 11 in, bend 90 (roll 90 CCW) ; tail 1 ft 7/16 in"
25,11,11,3.59,3.59,1,0,0,,tail 3 ft 7-1/16 in
26,1,11,10.0,10.0,0,1,0,,tail 10 ft
